award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
Words of Women,,No Extra Match,Y,Selective,3,social_sci,,,
World Historian Student Essay Competition,,No Extra Match,Y,Very Selective,4,humanities,,,
World of 7 Billion Student Video Contest,,No Extra Match,Y,Selective,3,Communication,social_sci,visualart,
Worldwide Plays Festival,Writopia Lab,No Extra Match,Y,Very Selective,4,humanities,performing_arts,,
WSDC,The World Schools Debating Championships,No Extra Match,Y,Extremely Selective,5,social_sci,,,
Young Authors Writing Competition,Columbia College Chicago,No Extra Match,Y,Very Selective,4,humanities,,,
Young Scientists Journal,,No Extra Match,Y,Selective,3,tech_eng,math_sci,,
"
GISTech-I Competition
",,No Extra Match,NaN,Very Selective,4,business,,,
“I Dare” business Plan Competition ,,No Extra Match,NaN,Very Selective,4,business,,,
21st Century Challenge Competition,,No Extra Match,NaN,Very Selective,4,business,,,
3D Artist CG Student Awards,,No Extra Match,NaN,Very Selective,4,visualart,,,
A*Star Talent Search,,No Extra Match,NaN,Very Selective,4,math_sci,,,
A+ Click Math Challenge,,No Extra Match,NaN,Mediocre,2,math_sci,,,
AAPT High School Physics Photo Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Accounts of Chemical Research,,No Extra Match,NaN,Very Selective,4,math_sci,,,
ACM Computing Reviews,,No Extra Match,NaN,Very Selective,4,math_sci,,,
ACM Transactions on Algorithms ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
ACSI Student Activities,,No Extra Match,NaN,Mediocre,2,humanities,,,
ACSL Programming Contest,American Computer Science League,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Acta Mathematica,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Advanced Composite Materials,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Advanced Functional Materials,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Advanced Materials,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Advances in Production Engineering & Management,,No Extra Match,NaN,Very Selective,4,math_sci,,,
AFA Teens for Alzheimer's Awareness College Essay Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
African Innovation Prize,,No Extra Match,NaN,Selective,3,business,,,
Agronomy for Sustainable Development,,No Extra Match,NaN,Very Selective,4,math_sci,,,
AIME,American Invitational Mathematics Examination,No Extra Match,NaN,Very Selective,4,math_sci,,,
Allergy,,No Extra Match,NaN,Very Selective,4,math_sci,,,
AMC 10,American Mathematics Competition,No Extra Match,NaN,Selective,3,math_sci,,,
AMC 12,American Mathematics Competition,No Extra Match,NaN,Selective,3,math_sci,,,
American Art Review,,No Extra Match,NaN,Very Selective,4,visualart,,,
American Chemical Society,,No Extra Match,NaN,Very Selective,4,math_sci,,,
American Foreign Service National High School Essay Competition,,No Extra Match,NaN,Very Selective,4,humanities,,,
American High School Theatre Festival (AHSTF),,No Extra Match,NaN,Very Selective,4,performing_arts,,,
American Invitational Mathematics Examination,,No Extra Match,NaN,Very Selective,4,math_sci,,,
American Journal of Botany,,No Extra Match,NaN,Very Selective,4,math_sci,,,
American Journal of Legal history   ,,No Extra Match,NaN,Very Selective,4,humanities,,,
American Journal of Public Health,,No Extra Match,NaN,Very Selective,4,math_sci,,,
American Justice Essay Scholarship (WSAJ Scholarship),,No Extra Match,NaN,Very Selective,4,social_sci,,,
American Legion National High School Oratorical Contest,,No Extra Match,NaN,Very Selective,4,social_sci,,,
American Naturalist,,No Extra Match,NaN,Very Selective,4,math_sci,,,
American Scholastic Mathematics Association Contest,,No Extra Match,NaN,Selective,3,math_sci,,,
American Scholastic Press Assn (ASPA) Yearbook and Newspaper Contest,,No Extra Match,NaN,Very Selective,4,social_sci,Communication,,
Annals of Botany,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Annals of Internal Medicine,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Annals of Mathematics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
"Annual Creative Writing Contest in Spanish, U of Omaha",,No Extra Match,NaN,Selective,3,humanities,,,
"Annual German High School (grade11/12) Contest, Canada",,No Extra Match,NaN,Mediocre,2,humanities,,,
Annual Great Lakes High School Chinese Speech Contest ,,No Extra Match,NaN,Selective,3,humanities,,,
Annual Johns Hopkins Math Tournament ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Annual National High School Chef of the Year Contest at Johnson & Wales University,,No Extra Match,NaN,Very Selective,4,visualart,,,
Annual Review of Biomedical Engineering,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Annual Review of Fluid Mechanics,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Annual Review of Immunology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Annual Signet Classics Student Scholarship Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Anthem Essay Contest (Ayn Rand Foundation),,No Extra Match,NaN,Selective,3,humanities,,,
APEC Youth Science Festival,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Architecture for Humanity,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Archive for Rational Mechanics and Analyses,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Archives of Internal Medicine,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Arizona State Edson Student Entrepreneur Initiative,,No Extra Match,NaN,Very Selective,4,business,,,
ARML,American Regions Mathematics League,No Extra Match,NaN,Very Selective,4,math_sci,,,
Art and Architecture Journal,,No Extra Match,NaN,Very Selective,4,visualart,,,
Art in America,,No Extra Match,NaN,Very Selective,4,visualart,,,
ArtAsiaPacific,,No Extra Match,NaN,Very Selective,4,visualart,,,
ASA Poster Competition and Project Competition,,No Extra Match,NaN,Very Selective,4,math_sci,,,
ASHG DNA Essay Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Asian Pacific Astronomy Olympiad,,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
Asian Pacific Mathematics Olympiad,APMO,No Extra Match,NaN,Very Selective,4,math_sci,,,
Asian Physics Olympiad,AphO,No Extra Match,NaN,Very Selective,4,math_sci,,,
Asian Schools Debating Championship (ASDC),,No Extra Match,NaN,Selective,3,social_sci,,,
Asian-Pacific Astronomy Olympiad,APAO,No Extra Match,NaN,Very Selective,4,math_sci,,,
Asia-Pacific Informatics Olympiad,APIO,No Extra Match,NaN,Very Selective,4,math_sci,,,
Associated Board of the Royal School of Music(ABRSM) Certificates Level 1-8,,No Extra Match,NaN,Selective,3,Music,,,
Astronomical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Astronomy & Astrophysics Journal   ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Astrophysical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Atmospheric Chemistry and Physics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Australian Mathematics Competition,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Avogadro Chemistry Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
"Awesome Math ""Mathematical Reflections"" ",,No Extra Match,NaN,Very Selective,4,math_sci,,,
AWM Biographies Contest,Biographies for Contemporary Women in Mathematics Essay Contest,No Extra Match,NaN,Very Selective,4,humanities,Communication,,
B.J. Spoke Gallery,,No Extra Match,NaN,Very Selective,4,visualart,,,
Baiada business Incubator Competition ,,No Extra Match,NaN,Very Selective,4,business,,,
Baja SAE,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
BattleBotsIQ,,No Extra Match,NaN,Selective,3,tech_eng,,,
Be Your Own Boss Bowl business Competition(BYOBB),,No Extra Match,NaN,Very Selective,4,business,,,
Behavioral and Brain Sciences,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Being an American Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Best Teen Chef Competition (Art Institute),,No Extra Match,NaN,Very Selective,4,visualart,,,
Bickel & Brewer/NYU Int'l Public Policy Forum (IPPF),,No Extra Match,NaN,Very Selective,4,social_sci,,,
Biochemical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
BioEssays,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biola University High School Composition Competition (BUHSCC),,No Extra Match,NaN,Very Selective,4,Music,,,
Biological Reviews,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biology Letters               ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biomechanics and Modeling in Mechanobiology,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Biomedical Microdevices,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Biometrics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biometrika,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biophysical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Biotechnology and Bioengineering,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Blizzard Entertainment Student Art Contest,,No Extra Match,NaN,Very Selective,4,visualart,,,
Blount-Slawson Young Artists Competition,,No Extra Match,NaN,Very Selective,4,Music,,,
Boston University Design Competition,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Botball Educational Robotics Program Competitions,,No Extra Match,NaN,Selective,3,tech_eng,,,
Brain Awareness Video Contest by Society of Neuroscience,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Bright Ideas Lighting Competition,,No Extra Match,NaN,Very Selective,4,visualart,,,
British Medical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
